SiteID,861847,Site Timezone,-7,Data Timezone,0,Longitude,-104.996551514,Latitude,39.7413291931
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),air temperature at 100m (C),wind speed at 120m (m/s),wind direction at 100m (deg),air pressure at 100m (Pa)
2014,1,1,0,30,2.33,8.22,N/A,317.48,82840
2014,1,1,1,30,9.09,6.21,N/A,234.53,82830
2014,1,1,2,30,6.08,5.23,N/A,211.22,82830
2014,1,1,3,30,6.84,7.78,N/A,192.5,82770
2014,1,1,4,30,13.24,6.91,N/A,259.43,82710
2014,1,1,5,30,14.97,6.62,N/A,267.26,82690
2014,1,1,6,30,15.98,7.21,N/A,269.44,82660
2014,1,1,7,30,13.46,6.97,N/A,271.1,82650
2014,1,1,8,30,11.78,7.29,N/A,270.57,82690
2014,1,1,9,30,6.6000000000000005,4.71,N/A,321.67,82710
2014,1,1,10,30,4.08,3.58,N/A,350.04,82720
2014,1,1,11,30,3.52,2.77,N/A,17.240000000000002,82780
2014,1,1,12,30,2.52,2,N/A,8.86,82860
2014,1,1,13,30,1,2.13,N/A,244.17000000000002,82920
2014,1,1,14,30,0.32,2.31,N/A,247.99,82950
2014,1,1,15,30,2.13,2.47,N/A,86.51,82990
2014,1,1,16,30,5.23,1.41,N/A,57.870000000000005,83110
2014,1,1,17,30,4.2700000000000005,1.6500000000000001,N/A,36.34,83160
2014,1,1,18,30,5.17,2.32,N/A,17.47,83200
2014,1,1,19,30,6.0600000000000005,2.85,N/A,9.65,83230
2014,1,1,20,30,7.13,2.77,N/A,16.1,83290
2014,1,1,21,30,9.43,1.72,N/A,22.85,83360
2014,1,1,22,30,7.46,-0.36,N/A,25.26,83440
2014,1,1,23,30,5.51,-1.03,N/A,14.18,83540
2014,1,2,0,30,2.12,-0.67,N/A,42.51,83600
2014,1,2,1,30,1.33,0.34,N/A,309.52,83640
2014,1,2,2,30,2.79,-1.75,N/A,56.21,83680
2014,1,2,3,30,2.17,-1.24,N/A,22.84,83660
2014,1,2,4,30,1.44,-0.97,N/A,21.07,83650
2014,1,2,5,30,0.9,-1.02,N/A,123.35000000000001,83610
2014,1,2,6,30,3.72,-0.77,N/A,211.58,83570
2014,1,2,7,30,4.19,-0.8,N/A,208.67000000000002,83530
2014,1,2,8,30,5.41,1.1500000000000001,N/A,282.05,83510
2014,1,2,9,30,7.98,2.32,N/A,321.3,83470
2014,1,2,10,30,4.55,2.32,N/A,336.72,83440
2014,1,2,11,30,2.48,1.7,N/A,202,83450
2014,1,2,12,30,3.2,1.84,N/A,154.76,83450
2014,1,2,13,30,3.98,1.6300000000000001,N/A,148.26,83440
2014,1,2,14,30,4.67,1.67,N/A,147.84,83420
2014,1,2,15,30,4.03,1.19,N/A,155.51,83430
2014,1,2,16,30,3.16,2.1,N/A,150.47,83430
2014,1,2,17,30,3.09,4.14,N/A,157.78,83400
2014,1,2,18,30,2.45,5.98,N/A,155.36,83360
2014,1,2,19,30,2.5500000000000003,7.18,N/A,147.5,83330
2014,1,2,20,30,1.84,8.05,N/A,163.32,83290
2014,1,2,21,30,1.19,8.700000000000001,N/A,132.98,83260
2014,1,2,22,30,2.15,8.66,N/A,36.32,83200
2014,1,2,23,30,2.98,8.22,N/A,35.59,83180
2014,1,3,0,30,3.6,6.36,N/A,10.78,83170
2014,1,3,1,30,0.76,5.39,N/A,344.29,83170
2014,1,3,2,30,0.6900000000000001,5.04,N/A,169.97,83110
2014,1,3,3,30,1.31,5.12,N/A,140.43,83060
2014,1,3,4,30,4.4,6.17,N/A,188.43,83000
2014,1,3,5,30,4.34,5.5600000000000005,N/A,165.57,82950
2014,1,3,6,30,3.16,7.62,N/A,216.83,82890
2014,1,3,7,30,5.09,7.8100000000000005,N/A,231.53,82830
2014,1,3,8,30,4.98,7.95,N/A,226.44,82790
2014,1,3,9,30,4.89,9.06,N/A,259.27,82720
2014,1,3,10,30,2.37,9.11,N/A,207.01,82650
2014,1,3,11,30,2.11,9.88,N/A,147.83,82590
2014,1,3,12,30,2.48,9.71,N/A,149.45000000000002,82540
2014,1,3,13,30,2.67,10.1,N/A,153.48,82480
2014,1,3,14,30,1.6500000000000001,9.93,N/A,176.70000000000002,82420
2014,1,3,15,30,2.56,9.65,N/A,226.34,82380
2014,1,3,16,30,5.1000000000000005,10.39,N/A,238.69,82330
2014,1,3,17,30,3.15,11.03,N/A,250.68,82250
2014,1,3,18,30,4.93,12.370000000000001,N/A,287.95,82180
2014,1,3,19,30,2.58,12.950000000000001,N/A,293.7,82110
2014,1,3,20,30,1.68,13.09,N/A,262.17,82070
2014,1,3,21,30,2.43,13.200000000000001,N/A,338.25,82000
2014,1,3,22,30,3.0700000000000003,12.91,N/A,53.02,81930
2014,1,3,23,30,18.76,11.9,N/A,273.47,81900
2014,1,4,0,30,19.66,12,N/A,269.86,81910
2014,1,4,1,30,6.43,11.28,N/A,226,82000
2014,1,4,2,30,5.05,10.450000000000001,N/A,262.31,81990
2014,1,4,3,30,7.25,9.58,N/A,276.18,81960
2014,1,4,4,30,3.66,9.15,N/A,284.87,81940
2014,1,4,5,30,3.18,8.82,N/A,71.35000000000001,81930
2014,1,4,6,30,3.61,8.92,N/A,304.41,81930
2014,1,4,7,30,7.07,6.61,N/A,81.7,81970
2014,1,4,8,30,11.61,1.03,N/A,63.17,82120
2014,1,4,9,30,5.8,-1.1300000000000001,N/A,62.230000000000004,82280
2014,1,4,10,30,3.63,-1.35,N/A,85.95,82300
2014,1,4,11,30,4.07,-1.87,N/A,69.60000000000001,82340
2014,1,4,12,30,6.95,-4.13,N/A,31.48,82400
2014,1,4,13,30,5.29,-4.25,N/A,26.32,82440
2014,1,4,14,30,3.24,-4.14,N/A,32.84,82450
2014,1,4,15,30,7.82,-5.0200000000000005,N/A,39.86,82460
2014,1,4,16,30,7.69,-4.97,N/A,44.67,82500
2014,1,4,17,30,5.2,-4.48,N/A,40.77,82470
2014,1,4,18,30,4.48,-4.36,N/A,48.04,82460
2014,1,4,19,30,4.39,-4.46,N/A,43.49,82450
2014,1,4,20,30,5.46,-4.1,N/A,39.35,82470
2014,1,4,21,30,5.9,-4.1,N/A,30.580000000000002,82510
2014,1,4,22,30,6.41,-4.86,N/A,38.43,82570
2014,1,4,23,30,4.48,-4.21,N/A,18.400000000000002,82630
2014,1,5,0,30,3.31,-4.51,N/A,46.160000000000004,82690
2014,1,5,1,30,3.7600000000000002,-4.9,N/A,74.63,82720
2014,1,5,2,30,3.5,-4.74,N/A,47.42,82740
2014,1,5,3,30,3.77,-5.0200000000000005,N/A,56.32,82750
2014,1,5,4,30,2.17,-5.04,N/A,61.25,82790
2014,1,5,5,30,1.2,-5.0600000000000005,N/A,46.15,82790
2014,1,5,6,30,0.84,-5.8,N/A,67.2,82800
2014,1,5,7,30,2.25,-5.23,N/A,186.67000000000002,82770
2014,1,5,8,30,3.0100000000000002,-5.12,N/A,207.33,82760
2014,1,5,9,30,4.3500000000000005,-4.94,N/A,194.19,82730
2014,1,5,10,30,3.58,-3.83,N/A,257.43,82730
2014,1,5,11,30,3.69,-3.29,N/A,306.36,82770
2014,1,5,12,30,6.42,-3.61,N/A,312.72,82790
2014,1,5,13,30,8.86,-7.21,N/A,3.75,82910
2014,1,5,14,30,11.52,-8.09,N/A,348.7,83010
2014,1,5,15,30,8.41,-8.64,N/A,351.16,83090
2014,1,5,16,30,6.54,-8.74,N/A,11.98,83150
2014,1,5,17,30,6.24,-8.93,N/A,22.7,83180
2014,1,5,18,30,5.51,-8.69,N/A,27.54,83190
2014,1,5,19,30,6.04,-9.040000000000001,N/A,34.94,83210
2014,1,5,20,30,8.22,-9.75,N/A,37.550000000000004,83290
2014,1,5,21,30,7.28,-10.01,N/A,34.44,83360
2014,1,5,22,30,6.07,-10.65,N/A,37.09,83380
2014,1,5,23,30,5.58,-11.200000000000001,N/A,34.980000000000004,83490
2014,1,6,0,30,4.73,-11.540000000000001,N/A,50.620000000000005,83540
2014,1,6,1,30,4.42,-12.030000000000001,N/A,46,83610
2014,1,6,2,30,4.51,-12.6,N/A,61.47,83650
2014,1,6,3,30,4.0600000000000005,-12.91,N/A,67.87,83650
2014,1,6,4,30,3.21,-12.83,N/A,55.86,83650
2014,1,6,5,30,3.14,-12.84,N/A,68.69,83620
2014,1,6,6,30,2.77,-12.65,N/A,84.97,83580
2014,1,6,7,30,1.86,-12.34,N/A,86.56,83540
2014,1,6,8,30,1.54,-11.64,N/A,25.53,83500
2014,1,6,9,30,2.5500000000000003,-10.1,N/A,351.29,83460
2014,1,6,10,30,3.52,-8.34,N/A,333.95,83420
2014,1,6,11,30,6.72,-7.2,N/A,339.59000000000003,83390
2014,1,6,12,30,6.45,-6.890000000000001,N/A,337.24,83400
2014,1,6,13,30,2.25,-6.63,N/A,12.57,83400
2014,1,6,14,30,0.34,-5.94,N/A,303.63,83370
2014,1,6,15,30,3.33,-5.0200000000000005,N/A,338.32,83390
2014,1,6,16,30,4.68,-3.86,N/A,352.74,83380
2014,1,6,17,30,4.62,-2.9,N/A,352.26,83340
2014,1,6,18,30,4,-2.1,N/A,9.5,83300
2014,1,6,19,30,4.43,-0.39,N/A,348.04,83270
2014,1,6,20,30,7.640000000000001,1.82,N/A,324.34000000000003,83240
2014,1,6,21,30,11.77,3.37,N/A,323.43,83210
2014,1,6,22,30,6.82,3.3000000000000003,N/A,314.17,83170
2014,1,6,23,30,1.9000000000000001,3.8200000000000003,N/A,263.61,83160
2014,1,7,0,30,2.41,3.83,N/A,198.56,83170
2014,1,7,1,30,1.6600000000000001,4.4,N/A,219.98000000000002,83170
2014,1,7,2,30,1.8900000000000001,4.47,N/A,284.52,83140
2014,1,7,3,30,12.56,5.38,N/A,270.9,83070
2014,1,7,4,30,13.58,5.37,N/A,272.3,83040
2014,1,7,5,30,14.700000000000001,5.24,N/A,279.39,82980
2014,1,7,6,30,15.5,5.96,N/A,279.78000000000003,82960
2014,1,7,7,30,16.84,6.61,N/A,275.98,82960
2014,1,7,8,30,16.87,6.98,N/A,276.27,82940
2014,1,7,9,30,17.830000000000002,7.36,N/A,274.49,82910
2014,1,7,10,30,18.19,7.88,N/A,273.44,82870
2014,1,7,11,30,19.42,8.16,N/A,277.03000000000003,82840
2014,1,7,12,30,17.490000000000002,7.62,N/A,278.05,82830
2014,1,7,13,30,8.86,7.140000000000001,N/A,267.37,82830
2014,1,7,14,30,4.05,8.24,N/A,131.21,82820
2014,1,7,15,30,2.04,8.4,N/A,141.25,82800
2014,1,7,16,30,2.5,8.35,N/A,104.63,82780
2014,1,7,17,30,4.8100000000000005,9.35,N/A,103.83,82760
2014,1,7,18,30,3.2600000000000002,9.73,N/A,78.12,82730
2014,1,7,19,30,2.3000000000000003,9.41,N/A,63.63,82720
2014,1,7,20,30,2.74,8.290000000000001,N/A,30.85,82740
2014,1,7,21,30,4.1,8.540000000000001,N/A,62.58,82710
2014,1,7,22,30,4.17,8.48,N/A,39.35,82680
2014,1,7,23,30,6.13,9.17,N/A,336.93,82670
2014,1,8,0,30,1.85,7.08,N/A,97.49000000000001,82690
2014,1,8,1,30,1.27,6.79,N/A,81.9,82710
2014,1,8,2,30,8.49,6.29,N/A,294.48,82700
2014,1,8,3,30,8.6,5.95,N/A,303.42,82670
2014,1,8,4,30,6.8,5.73,N/A,309.56,82710
2014,1,8,5,30,7.01,5.8500000000000005,N/A,293.12,82700
2014,1,8,6,30,2.52,4.92,N/A,63.52,82710
2014,1,8,7,30,1.36,3.02,N/A,334.90000000000003,82760
2014,1,8,8,30,2.49,3.81,N/A,288.47,82770
2014,1,8,9,30,0.97,3.09,N/A,322.38,82750
2014,1,8,10,30,1.57,2.19,N/A,66.89,82750
2014,1,8,11,30,3.22,1.27,N/A,3.8200000000000003,82800
2014,1,8,12,30,4.69,0.63,N/A,345.42,82840
2014,1,8,13,30,2.54,-0.33,N/A,4.28,82860
2014,1,8,14,30,1.73,-0.5700000000000001,N/A,15.65,82860
2014,1,8,15,30,2.29,-0.48,N/A,233.3,82880
2014,1,8,16,30,1.16,0.31,N/A,321.47,82890
2014,1,8,17,30,0.4,1.37,N/A,143.26,82880
2014,1,8,18,30,1.3,2.44,N/A,156.20000000000002,82850
2014,1,8,19,30,1.25,3.69,N/A,117.10000000000001,82820
2014,1,8,20,30,1.31,4.71,N/A,109.44,82810
2014,1,8,21,30,1.29,5.15,N/A,62.68,82790
2014,1,8,22,30,2.47,4.98,N/A,49.19,82760
2014,1,8,23,30,3.59,4.1,N/A,45.89,82770
2014,1,9,0,30,2.44,3.85,N/A,46.79,82800
2014,1,9,1,30,1.72,3.65,N/A,74.51,82800
2014,1,9,2,30,0.2,3.11,N/A,233.21,82760
2014,1,9,3,30,0.43,2.48,N/A,332.17,82750
2014,1,9,4,30,1.4000000000000001,2.31,N/A,213.72,82750
2014,1,9,5,30,0.28,2.18,N/A,141.26,82730
2014,1,9,6,30,1.06,1.81,N/A,155.18,82710
2014,1,9,7,30,3.22,2.07,N/A,178.34,82690
2014,1,9,8,30,3.0700000000000003,1.6500000000000001,N/A,179.37,82670
2014,1,9,9,30,3.08,2.11,N/A,180.92000000000002,82610
2014,1,9,10,30,4.12,2.2,N/A,195.33,82560
2014,1,9,11,30,4.75,2.61,N/A,197.79,82520
2014,1,9,12,30,2.41,3.0500000000000003,N/A,228.61,82510
2014,1,9,13,30,2.46,2.91,N/A,181.44,82490
2014,1,9,14,30,3.83,3.4,N/A,264.98,82450
2014,1,9,15,30,11.55,3.89,N/A,256.7,82420
2014,1,9,16,30,5.17,4.37,N/A,271.78000000000003,82400
2014,1,9,17,30,2.2800000000000002,5.04,N/A,279.71,82350
