Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),air temperature at 100m (C),wind speed at 120m (m/s),wind direction at 100m (deg),air pressure at 100m (Pa)
2013,1,1,0,30,3.75,-4.38,3.74,95.75,82730
2013,1,1,1,30,2.68,-4.59,2.66,106.07,82770
2013,1,1,2,30,1.48,-4.6,1.43,107.6,82790
2013,1,1,3,30,0.44,-4.68,0.42,164.44,82810
2013,1,1,4,30,2.15,-5.18,2.06,301.13,82850
2013,1,1,5,30,1.62,-5.38,1.54,296.22,82870
2013,1,1,6,30,0.96,-5.47,0.85,294.23,82890
2013,1,1,7,30,1.59,-5.8,1.51,287.78,82920
2013,1,1,8,30,1.14,-6.2,1.1,283.75,82950
2013,1,1,9,30,1.09,-6.47,1.07,264.06,82960
2013,1,1,10,30,1.14,-6.81,1.21,221.56,82960
2013,1,1,11,30,1.32,-7.16,1.36,194.77,82990
2013,1,1,12,30,1.32,-7.3,1.39,193.58,83020
2013,1,1,13,30,1.21,-7.45,1.34,186.49,83050
2013,1,1,14,30,0.48,-7.61,0.84,201.69,83060
2013,1,1,15,30,0.81,-7.15,1.29,149.4,83080
2013,1,1,16,30,1,-6.37,1.36,155.37,83120
2013,1,1,17,30,0.76,-4.46,1,126.26,83120
2013,1,1,18,30,1.18,-2.94,1.27,106.71,83100
2013,1,1,19,30,1.5,-2.1,1.54,81.36,83090
2013,1,1,20,30,2.54,-2.01,2.55,65.13,83100
2013,1,1,21,30,2.23,-1.7,2.24,88.88,83060
2013,1,1,22,30,2.54,-1.65,2.57,114.5,83020
2013,1,1,23,30,2.53,-2.03,2.57,113.73,83020
2013,1,2,0,30,2.76,-2.28,3,176.37,83040
2013,1,2,1,30,2.07,-3.22,2.33,192.52,83050
2013,1,2,2,30,1.92,-3.49,2.01,193.89,83060
2013,1,2,3,30,0.6,-3.51,1.04,278.11,83070
2013,1,2,4,30,0.79,-3.42,0.64,135.58,83130
2013,1,2,5,30,3.12,-2.72,3.66,295.27,83140
2013,1,2,6,30,2.46,-3.07,2.95,296.93,83150
2013,1,2,7,30,0.99,-3.3,0.89,101.16,83180
2013,1,2,8,30,1.22,-4.36,1.25,112.87,83210
2013,1,2,9,30,2.76,-4.81,2.91,187.79,83210
2013,1,2,10,30,1.65,-4.81,2.12,197.49,83200
2013,1,2,11,30,1.71,-5.26,1.67,188.42,83220
2013,1,2,12,30,2.62,-5.03,3.31,296.28,83260
2013,1,2,13,30,2.73,-4.48,3.41,349.37,83280
2013,1,2,14,30,2.3,-4.55,2.76,353.77,83280
2013,1,2,15,30,0.27,-4.75,0.39,49.99,83300
2013,1,2,16,30,0.76,-4.86,1.12,60.38,83330
2013,1,2,17,30,1.22,-4.14,1.37,75.38,83300
2013,1,2,18,30,3.45,-3.39,3.46,71.19,83290
2013,1,2,19,30,4.72,-3.19,4.77,66.18,83280
2013,1,2,20,30,2.93,-2.82,3.01,62.4,83290
2013,1,2,21,30,3.89,-2.44,3.97,40,83270
2013,1,2,22,30,2.73,-2.26,2.79,70.44,83260
2013,1,2,23,30,3.09,-2.28,3.2,70.83,83300
2013,1,3,0,30,2.93,-2.57,2.96,120.75,83360
2013,1,3,1,30,4.15,-2.7,4.1,109.77,83410
2013,1,3,2,30,2.88,-2.85,3.08,111.95,83450
2013,1,3,3,30,3.01,-3.64,3.14,210.31,83480
2013,1,3,4,30,3.89,-4.47,3.94,216.78,83530
2013,1,3,5,30,3.84,-4.79,4.1,198.11,83540
2013,1,3,6,30,3.93,-5.53,4.27,202.7,83570
2013,1,3,7,30,4.73,-6.22,5.46,178.88,83610
2013,1,3,8,30,4.64,-6.56,4.95,166.38,83660
2013,1,3,9,30,4.13,-6.7,4.44,145.73,83670
2013,1,3,10,30,5.14,-6.91,5.46,148.5,83640
2013,1,3,11,30,3.99,-7.85,4.57,173.51,83630
2013,1,3,12,30,3.28,-8.88,3.71,193.6,83620
2013,1,3,13,30,2.92,-8.17,2.92,208.61,83610
2013,1,3,14,30,1.77,-7.66,1.94,233.56,83590
2013,1,3,15,30,1.43,-7.3,1.56,214.44,83590
2013,1,3,16,30,1.87,-6.07,1.87,179.98,83590
2013,1,3,17,30,1.59,-4.07,1.76,167.38,83550
2013,1,3,18,30,1.39,-2.18,1.4,161.25,83510
2013,1,3,19,30,0.66,-1.23,0.74,114.43,83480
2013,1,3,20,30,0.78,-0.44,0.84,113.49,83450
2013,1,3,21,30,1.24,0.27,1.26,141.07,83430
2013,1,3,22,30,2.01,0.37,1.98,151.29,83400
2013,1,3,23,30,2.61,0.19,2.6,167.39,83410
2013,1,4,0,30,3.38,-0.68,3.49,193.68,83420
2013,1,4,1,30,3.73,-1.54,3.94,198.79,83420
2013,1,4,2,30,4.68,-1.31,4.71,197.2,83400
2013,1,4,3,30,4.26,-1.33,4.48,185.96,83380
2013,1,4,4,30,4.1,-1.34,4.03,192.81,83380
2013,1,4,5,30,4.06,-1.36,3.81,196.43,83370
2013,1,4,6,30,4.32,-1.11,4.03,196.99,83360
2013,1,4,7,30,4,-1.26,3.76,197.88,83360
2013,1,4,8,30,3.37,-1.38,3.05,201.24,83360
2013,1,4,9,30,3.26,-1.32,2.85,199.63,83340
2013,1,4,10,30,2.85,-1.01,2.44,203.33,83330
2013,1,4,11,30,2.67,-1.07,2.29,199.3,83320
2013,1,4,12,30,2.62,-1.2,2.31,197.7,83330
2013,1,4,13,30,3.06,-0.85,2.73,193.93,83320
2013,1,4,14,30,3.07,-0.39,2.69,197.64,83290
2013,1,4,15,30,3.26,-0.3,2.91,199.73,83270
2013,1,4,16,30,3.04,0.79,2.75,189.54,83260
2013,1,4,17,30,3.08,1.96,2.95,179.22,83220
2013,1,4,18,30,1.74,3.49,1.78,176.57,83160
2013,1,4,19,30,0.65,4.57,0.74,154.95,83100
2013,1,4,20,30,0.96,5.01,1.09,44.09,83060
2013,1,4,21,30,1.69,5.22,1.66,32.76,83010
2013,1,4,22,30,2.07,5.09,2.06,39.98,82950
2013,1,4,23,30,2.46,4.78,2.35,41.84,82940
2013,1,5,0,30,1.48,3.43,1.81,30.53,82940
2013,1,5,1,30,0.71,2.27,0.89,359.41,82940
2013,1,5,2,30,0.75,1.37,1.11,314.66,82940
2013,1,5,3,30,1.2,0.59,1.6,320.89,82930
2013,1,5,4,30,1.83,-0.27,2.17,326.24,82960
2013,1,5,5,30,3.02,-0.33,3.61,335.18,82970
2013,1,5,6,30,3.94,-1.86,4.59,5.82,83010
2013,1,5,7,30,1.87,-2.45,2.26,355.97,83070
2013,1,5,8,30,2.51,-2.01,2.39,224.18,83100
2013,1,5,9,30,4.1,-1.5,3.56,193.48,83120
2013,1,5,10,30,4.87,-0.47,4.46,192.39,83120
2013,1,5,11,30,4.81,-0.54,4.56,187.9,83170
2013,1,5,12,30,3.33,-1.06,3.21,187.84,83250
2013,1,5,13,30,2.63,-2.61,2.9,227.91,83320
2013,1,5,14,30,1.96,-2.07,2.1,215.05,83360
2013,1,5,15,30,3.29,-1.88,2.97,190.78,83400
2013,1,5,16,30,2.42,-0.42,2.34,184.99,83450
2013,1,5,17,30,1.95,0.31,1.85,159.98,83470
2013,1,5,18,30,0.9,0.88,0.98,68.9,83480
2013,1,5,19,30,2.72,0.9,2.72,84.22,83510
2013,1,5,20,30,2.32,1.22,2.32,54.24,83520
2013,1,5,21,30,3.38,1.7,3.4,92.93,83530
2013,1,5,22,30,3.04,1.63,3.05,89.74,83530
2013,1,5,23,30,3.56,1.08,3.6,99.51,83570
2013,1,6,0,30,3.49,1.11,3.54,138.12,83610
2013,1,6,1,30,3.96,-0.82,4.1,182.13,83630
2013,1,6,2,30,4.61,-0.89,5.09,196.12,83630
2013,1,6,3,30,4.81,-1.14,5.13,198.52,83620
2013,1,6,4,30,4.55,-1.83,4.97,201.95,83600
2013,1,6,5,30,4.27,-1.28,4.42,204.56,83600
2013,1,6,6,30,3.43,-1.84,3.3,177.26,83610
2013,1,6,7,30,3.06,-2.67,2.96,207.04,83600
2013,1,6,8,30,2.2,-1.45,2.28,175.31,83580
2013,1,6,9,30,3.44,-2.23,3.16,193.12,83540
2013,1,6,10,30,3.06,-2.17,3.36,184.22,83480
2013,1,6,11,30,2.79,-2.39,3.13,184.89,83450
2013,1,6,12,30,2.87,-2.15,3.07,215.3,83410
2013,1,6,13,30,1.42,-3.57,1.93,177,83360
2013,1,6,14,30,1.26,-3.37,1.7,199,83310
2013,1,6,15,30,0.97,-3.88,1.02,318.84,83260
2013,1,6,16,30,1.43,-3.91,1.53,353.68,83220
2013,1,6,17,30,1.28,-3.21,1.9,354.89,83140
2013,1,6,18,30,1.38,-0.68,1.78,6.26,83070
2013,1,6,19,30,1.97,0.58,2.18,17.4,83000
2013,1,6,20,30,2.54,1.74,2.73,11.59,82950
2013,1,6,21,30,2.32,2.31,2.44,24.62,82880
2013,1,6,22,30,1.73,2.63,1.8,37.05,82820
2013,1,6,23,30,1.32,2.44,1.36,35.26,82790
2013,1,7,0,30,0.21,1.86,0.18,232.84,82790
2013,1,7,1,30,0.95,1.35,0.86,237.73,82780
2013,1,7,2,30,1.05,2.12,0.96,199.91,82750
2013,1,7,3,30,1.37,2.28,1.31,204.09,82710
2013,1,7,4,30,1.8,3.57,1.98,181.92,82700
2013,1,7,5,30,2,3.14,1.89,191.88,82690
2013,1,7,6,30,1.1,4.11,0.85,200.36,82680
2013,1,7,7,30,1.58,4.72,1.48,182.52,82700
2013,1,7,8,30,3.16,4.53,3.17,172.99,82720
2013,1,7,9,30,3.3,3.89,3.77,181.94,82720
2013,1,7,10,30,3.29,4.37,3.53,189.46,82690
2013,1,7,11,30,5.03,6.05,4.83,191.43,82700
2013,1,7,12,30,5.16,6.38,5.02,187.15,82730
2013,1,7,13,30,6.22,6.76,6.54,200.08,82760
2013,1,7,14,30,2.84,4.36,2.56,294.56,82800
2013,1,7,15,30,2.11,0.77,1.97,14.55,82810
2013,1,7,16,30,1.64,1.98,1.32,273.59,82820
2013,1,7,17,30,0.72,3.89,0.73,301.98,82780
2013,1,7,18,30,1.19,5.24,1.42,142.37,82740
2013,1,7,19,30,0.98,5.83,0.98,34.23,82710
2013,1,7,20,30,0.67,7.51,0.63,323.88,82660
2013,1,7,21,30,1.22,8.21,0.94,39.55,82600
2013,1,7,22,30,2.57,7.89,2.46,36.57,82540
2013,1,7,23,30,1.55,7.82,1.31,2.84,82520
2013,1,8,0,30,2.45,6.75,2.28,23.41,82520
2013,1,8,1,30,0.63,5.07,0.94,349.61,82520
2013,1,8,2,30,3.45,2.04,2.97,3.57,82510
2013,1,8,3,30,1.92,2.73,1.73,15.97,82470
2013,1,8,4,30,0.22,0.41,0.34,330.93,82480
2013,1,8,5,30,1.16,0.55,1.17,210.68,82460
2013,1,8,6,30,2.2,1,2.37,201.08,82440
2013,1,8,7,30,3.05,1.84,2.69,209.52,82430
2013,1,8,8,30,1.58,3.26,1.81,244.21,82430
2013,1,8,9,30,1.27,5.25,1.36,220.42,82430
2013,1,8,10,30,4.75,5.7,5.18,251.87,82430
2013,1,8,11,30,7.31,7,8.01,313.49,82460
2013,1,8,12,30,6.48,6.91,7.86,281.2,82510
2013,1,8,13,30,2.51,5.89,2.6,17.32,82530
2013,1,8,14,30,2.81,5.82,2.77,3.63,82550
2013,1,8,15,30,0.76,4.13,1.13,61.4,82610
2013,1,8,16,30,1.89,6.31,1.15,72.05,82680
